type charge x y z
1025 3 -2 5.40066 2.95333 27.4088 

1025 3 -2 4.72377 1.15841 27.4086 

1025 3 -2 4.04669 6.91166 27.4088 

1025 3 -2 3.36982 5.11668 27.409 

1025 3 -2 2.69293 3.32172 27.4088 

1025 3 -2 2.01606 1.52674 27.4088 

1025 3 -2 1.33908 7.27996 27.4088 

1025 3 -2 0.662173 5.48501 27.4086 

1025 3 -2 7.53346 3.68989 27.4087 

1025 3 -2 6.85659 1.89495 27.4087 

1025 3 -2 6.17971 0.100026 27.4085 

1025 3 -2 5.50269 5.85322 27.4089 

1025 3 -2 4.82585 4.05823 27.4089 

1025 3 -2 4.14897 2.26327 27.4087 

1025 3 -2 3.47206 0.468346 27.4086 

1025 3 -2 2.79499 6.22156 27.4088 

1025 3 -2 2.1181 4.42662 27.4087 

1025 3 -2 1.44123 2.63166 27.4088 

1025 3 -2 0.764412 0.836726 27.4087 

1025 3 -2 0.0874343 6.58985 27.4086 

1025 3 -2 6.95867 4.79477 27.4087 

1025 3 -2 6.28179 2.99981 27.4087 

1025 3 -2 5.60492 1.20488 27.4086 

1025 3 -2 4.92785 6.95811 27.4088 

1025 3 -2 4.25097 5.16315 27.409 

1025 3 -2 3.57411 3.36818 27.4089 

1025 3 -2 2.89724 1.5732 27.4087 

1025 3 -2 2.2202 7.32643 27.4088 

1025 3 -2 1.54331 5.5315 27.4087 

1025 3 -2 0.866432 3.73653 27.4086 

1025 3 -2 0.189575 1.94163 27.4087 

1025 3 -2 7.06081 0.146507 27.4084 

1025 3 -2 6.38387 5.89969 27.4089 

1025 3 -2 5.70699 4.10469 27.4088 

1025 3 -2 5.03013 2.30975 27.4087 

1025 3 -2 4.35323 0.514828 27.4086 

1025 3 -2 3.67614 6.26803 27.4088 

1025 3 -2 2.99926 4.47309 27.4089 

1025 3 -2 2.32238 2.6781 27.4088 

1025 3 -2 1.64555 0.883162 27.4088 

1025 3 -2 0.968522 6.63635 27.4087 

1025 3 -2 0.291646 4.84139 27.4086 

1025 3 -2 7.16293 3.04629 27.4087 

1025 3 -2 6.48605 1.25133 27.4087 

1025 3 -2 5.80904 7.0046 27.4089 

1025 3 -2 5.13216 5.2096 27.4089 

1025 3 -2 4.45529 3.41463 27.4089 

1025 3 -2 3.77842 1.61967 27.4086 

1025 3 -2 3.10134 7.37292 27.4088 

1025 3 -2 2.42444 5.57797 27.4088 

1025 3 -2 1.74755 3.78301 27.4087 

1025 3 -2 1.0707 1.98807 27.4088 

1025 3 -2 0.3939 0.193119 27.4086 

1025 3 -2 7.26504 5.94616 27.4089 

1025 3 -2 6.58813 4.15115 27.4087 

1025 3 -2 5.91125 2.35623 27.4087 

1025 3 -2 5.23439 0.561303 27.4085 

1025 3 -2 4.55731 6.3145 27.4088 

1025 3 -2 3.88043 4.51955 27.409 

1025 3 -2 3.20357 2.72456 27.4088 

1025 3 -2 2.5267 0.929613 27.4087 

1025 3 -2 1.84967 6.68282 27.4088 

1025 3 -2 1.17277 4.88789 27.4086 

1025 3 -2 0.495898 3.09295 27.4087 

1025 3 -2 7.36717 1.29782 27.4086 

1025 3 -2 6.69023 7.0511 27.409 

1025 3 -2 6.01331 5.25607 27.4088 

1025 3 -2 5.33647 3.4611 27.4088 

1025 3 -2 4.65958 1.66615 27.4086 

1025 3 -2 3.98249 7.41939 27.4087 

1025 3 -2 3.3056 5.62445 27.4089 

1025 3 -2 2.62871 3.82948 27.4088 

1025 3 -2 1.95187 2.03453 27.4088 

1025 3 -2 1.27504 0.239572 27.4086 

1025 3 -2 0.597995 5.99274 27.4087 

1025 3 -2 7.46926 4.19765 27.4087 

1025 3 -2 6.7924 2.4027 27.4087 

1025 3 -2 6.11551 0.607755 27.4086 

1025 3 -2 5.43848 6.36098 27.4089 

1025 3 -2 4.76162 4.56601 27.409 

1025 3 -2 4.08477 2.77102 27.4087 

1025 3 -2 3.40785 0.976081 27.4086 

1025 3 -2 2.73079 6.72932 27.4088 

1025 3 -2 2.05391 4.93438 27.4087 

1025 3 -2 1.377 3.13942 27.4087 

1025 3 -2 0.700183 1.34447 27.4087 

1025 3 -2 0.0232506 7.0976 27.4086 

1025 3 -2 6.89449 5.30254 27.4088 

1025 3 -2 6.2176 3.50756 27.4087 

1025 3 -2 5.54072 1.71261 27.4086 

1025 3 -2 4.86367 7.46589 27.4088 

1025 3 -2 4.18677 5.67091 27.4089 

1025 3 -2 3.5099 3.87593 27.4089 

1025 3 -2 2.83303 2.08096 27.4088 

1025 3 -2 2.15616 0.28602 27.4086 

1025 3 -2 1.47912 6.03925 27.4088 

1025 3 -2 0.802224 4.24429 27.4086 

1025 3 -2 0.125359 2.44937 27.4087 

1025 3 -2 6.99662 0.65423 27.4086 

1025 3 -2 6.31967 6.40748 27.409 

1025 3 -2 5.64279 4.61246 27.4088 

1025 3 -2 4.96593 2.81749 27.4087 

1025 3 -2 4.28903 1.02257 27.4086 

1025 3 -2 3.61194 6.7758 27.4088 

1025 3 -2 2.93506 4.98084 27.4088 

1025 3 -2 2.25818 3.18589 27.4088 

1025 3 -2 1.58134 1.39091 27.4088 

1025 3 -2 0.904334 7.14409 27.4088 

1025 3 -2 0.227455 5.34916 27.4086 

1025 3 -2 7.09874 3.55403 27.4087 

1025 3 -2 6.42184 1.7591 27.4087 

1025 3 -2 5.74484 7.51239 27.4089 

1025 3 -2 5.06795 5.71738 27.4089 

1025 3 -2 4.39108 3.92238 27.4089 

1025 3 -2 3.71422 2.12743 27.4087 

1025 3 -2 3.0373 0.332501 27.4086 

1025 3 -2 2.36026 6.08572 27.4088 

1025 3 -2 1.68335 4.29077 27.4086 

1025 3 -2 1.00648 2.49582 27.4088 

1025 3 -2 0.329685 0.700877 27.4086 

1025 3 -2 7.20086 6.45395 27.409 

1025 3 -2 6.52393 4.65892 27.4087 

1025 3 -2 5.84705 2.86397 27.4087 

1025 3 -2 5.17019 1.06903 27.4086 

1025 3 -2 4.49311 6.82227 27.4088 

1025 3 -2 3.81623 5.02732 27.409 

1025 3 -2 3.13936 3.23233 27.4088 

1025 3 -2 2.4625 1.43736 27.4088 

1025 3 -2 1.78548 7.19058 27.4088 

1025 3 -2 1.10856 5.39565 27.4087 

1025 3 -2 0.43168 3.60067 27.4086 

1025 3 -2 7.30297 1.80558 27.4087 

1025 3 -2 6.62609 0.0106577 27.4084 

1025 3 -2 5.94911 5.76384 27.4089 

1025 3 -2 5.27226 3.96884 27.4089 

1025 3 -2 4.59539 2.17389 27.4086 

1025 3 -2 3.91849 0.37898 27.4086 

1025 3 -2 3.2414 6.13221 27.4088 

1025 3 -2 2.56451 4.33725 27.4088 

1025 3 -2 1.88764 2.54228 27.4088 

1025 3 -2 1.21082 0.747329 27.4087 
1025 3 -2 6.87112 13.3012 27.4087 

1025 3 -2 6.19424 11.5062 27.4087 

1025 3 -2 5.51733 9.71126 27.4088 

1025 3 -2 4.84035 7.91632 27.4088 

1025 3 -2 4.16347 13.6695 27.4086 

1025 3 -2 3.48654 11.8745 27.4086 

1025 3 -2 2.80959 10.0795 27.4087 

1025 3 -2 2.13269 8.2846 27.4088 

1025 3 -2 1.45587 14.0378 27.4086 

1025 3 -2 0.778942 12.2427 27.4087 

1025 3 -2 0.102073 10.4478 27.4086 

1025 3 -2 6.97329 8.65293 27.4088 

1025 3 -2 6.29632 14.4061 27.4085 

1025 3 -2 5.61943 12.6111 27.4087 

1025 3 -2 4.94252 10.8161 27.4088 

1025 3 -2 4.26557 9.02117 27.4089 

1025 3 -2 3.58867 14.7744 27.4086 

1025 3 -2 2.91177 12.9794 27.4086 

1025 3 -2 2.23484 11.1843 27.4087 

1025 3 -2 1.55793 9.38942 27.4086 

1025 3 -2 0.881021 7.59452 27.4088 

1025 3 -2 0.204206 13.3476 27.4086 

