type charge x y z
1025 3 -0.494149 2.85452 2.81593 22.7273 

1025 3 -0.494828 22.5832 2.90515 22.6861 

1025 3 -0.497323 2.82411 8.51128 22.6307 

1025 3 -0.493658 2.85566 5.6959 22.7266 

1025 3 -0.496212 2.92698 2.87685 22.6498 

1025 3 -0.493839 0.0257788 2.76538 22.7136 

1025 3 -0.494887 8.47727 0.0477642 22.6816 

1025 3 -0.493202 5.61137 5.71099 22.6827 

1025 3 -0.494194 2.8299 5.67899 22.6538 

1025 3 -0.491856 5.63293 2.85082 22.7303 

1025 3 -0.496635 5.67066 19.7769 22.6031 

1025 3 -0.495628 5.70033 5.7087 22.695 

1025 3 -0.49862 2.86198 5.70156 22.6534 

1025 3 -0.49259 2.79133 2.87397 22.7228 

1025 3 -0.492955 2.83049 22.688 22.7061 

1025 3 -0.496482 2.82737 5.61732 22.6865 

1025 3 -0.496957 19.7835 5.60673 22.6424 

1025 3 -0.493112 22.7171 2.80512 22.6796 

1025 3 -0.492201 5.70188 22.6752 22.6502 

1025 3 -0.495764 5.76491 8.42489 22.6762 

1025 3 -0.49384 5.66959 5.65623 22.6545 

1025 3 -0.494751 5.67913 2.80915 22.7037 

1025 3 -0.494379 5.62523 5.65546 22.6585 

1025 3 -0.494535 22.6188 8.50857 22.6616 

1025 3 -0.496809 2.82443 5.74455 22.6564 

1025 3 -0.495419 2.80638 2.88422 22.6586 

1025 3 -0.495368 2.91387 2.96746 22.674 

1025 3 -0.493637 -0.06681 0.0279552 22.6846 

1025 3 -0.494309 0.0289615 5.65803 22.7079 

1025 3 -0.490722 5.62994 2.82791 22.698 

1025 3 -0.493618 5.65073 2.82435 22.6537 

1025 3 -0.49394 5.68009 22.6905 22.678 

1025 3 -0.497156 8.6102 5.61849 22.677 

1025 3 -0.493781 5.71786 8.46608 22.6719 

1025 3 -0.49468 2.84993 2.93399 22.6917 

1025 3 -0.49947 2.91631 0.0403456 22.7165 

1025 3 -0.499248 2.8663 5.67088 22.6856 

1025 3 -0.493946 2.88706 8.62759 22.6613 

1025 3 -0.49748 0.0358703 2.85428 22.6519 

1025 3 -0.49574 -0.0657739 22.684 22.6759 

1025 3 -0.494272 11.3375 8.51521 22.6732 

1025 3 -0.496528 5.7228 8.47802 22.6467 

1025 3 -0.492634 5.65692 2.82968 22.6545 

1025 3 -0.492484 8.50937 2.86214 22.6616 

1025 3 -0.496042 5.66356 22.647 22.6614 

1025 3 -0.499582 2.83713 5.74482 22.6531 

1025 3 -0.496004 2.81304 2.83784 22.6286 

1025 3 -0.499048 2.8861 2.88145 22.6995 

1025 3 -0.496398 2.84257 22.6742 22.7487 

1025 3 -0.496438 -0.0183596 5.66831 22.6856 

1025 3 -0.495831 22.648 22.7146 22.666 

1025 3 -0.494206 8.4523 2.84897 22.6853 

1025 3 -0.49772 5.69378 22.5963 22.662 

1025 3 -0.495804 5.66844 5.70923 22.6493 

1025 3 -0.497309 5.69611 5.69112 22.6202 

1025 3 -0.497987 5.72436 2.76643 22.6084 

1025 3 -0.495594 5.62031 -0.0357886 22.6486 

1025 3 -0.497194 2.76724 5.69903 22.6396 

1025 3 -0.499228 5.68988 5.7308 22.6079 

1025 3 -0.494543 2.87833 2.94182 22.6743 

1025 3 -0.497255 19.7943 2.83663 22.6807 

1025 3 -0.495264 -0.0846992 8.55037 22.6957 

1025 3 -0.50017 8.53932 5.56523 22.6771 

1025 3 -0.495858 5.62945 2.8279 22.6394 

1025 3 -0.495323 5.65843 2.80143 22.6383 

1025 3 -0.492634 5.69814 22.7193 22.6885 

1025 3 -0.497235 5.70952 5.68837 22.6772 

1025 3 -0.493302 2.81031 0.0343984 22.7384 

1025 3 -0.498398 22.6193 2.80229 22.6493 

1025 3 -0.497445 2.81841 0.000305113 22.6699 

1025 3 -0.49735 2.87817 5.66427 22.6918 

1025 3 -0.488544 1.45574 4.16608 23.4051 

1025 3 -0.492287 22.6748 2.87063 22.6936 

1025 3 -0.49527 8.4809 22.625 22.6637 

1025 3 -0.494838 5.65257 5.62467 22.6823 

1025 3 -0.493977 2.79553 5.69778 22.6982 

1025 3 -0.496018 5.63522 2.85646 22.6623 

1025 3 -0.491399 5.69876 2.80106 22.6902 

1025 3 -0.480833 4.3359 7.1425 23.4295 

1025 3 -0.496325 2.77993 5.69096 22.7012 

1025 3 -0.494795 2.76871 2.83573 22.6742 

1025 3 -0.490318 2.86857 2.86397 22.7136 

1025 3 -0.498719 -0.0228643 11.3828 22.639 

1025 3 -0.496522 22.7049 5.62535 22.7104 

1025 3 -0.49381 8.43775 2.83278 22.6531 

1025 3 -0.489956 5.64399 2.87304 22.7251 

1025 3 -0.497986 5.70549 22.6009 22.6094 

1025 3 -0.496961 5.62981 5.65151 22.6673 

1025 3 -0.498696 5.72635 2.78232 22.6456 

1025 3 -0.49584 5.71491 5.70512 22.6534 

1025 3 -0.50183 2.83325 19.8017 22.6619 

1025 3 -0.496718 2.84504 5.68939 22.7124 

1025 3 -0.492007 5.66067 2.83738 22.6688 

1025 3 -0.498967 0.0148957 2.84783 22.6776 

1025 3 -0.493094 22.5349 22.6952 22.7295 

1025 3 -0.490308 0.00535767 5.63011 22.7551 

1025 3 -0.493155 5.63443 5.69679 22.707 

1025 3 -0.496171 5.70141 2.86694 22.6704 

1025 3 -0.494215 5.6342 22.6944 22.6641 

1025 3 -0.497383 8.5927 5.61245 22.6985 

1025 3 -0.494758 2.85206 5.66193 22.6828 

1025 3 -0.494795 2.90786 2.90991 22.7204 

1025 3 -0.495095 2.90294 2.87363 22.7009 

1025 3 -0.494031 2.85593 8.51188 22.7263 

1025 3 -0.498119 2.86756 5.64824 22.6438 

1025 3 -0.497853 22.5623 0.0156251 22.6566 

1025 3 -0.491808 22.5847 2.90461 22.6891 

1025 3 -0.491814 8.51998 22.5828 22.7022 

1025 3 -0.496688 5.64764 5.67245 22.691 

1025 3 -0.494525 5.74529 22.5988 22.6707 

1025 3 -0.489771 5.71128 5.73687 22.7314 

1025 3 -0.493841 5.68764 19.797 22.6537 

1025 3 -0.493608 2.81806 2.91984 22.68 

1025 3 -0.5 2.86754 5.68762 22.6536 

1025 3 -0.496697 2.80298 2.89549 22.7189 

1025 3 -0.49508 2.85431 22.6147 22.7126 

1025 3 -0.497534 22.5936 5.66028 22.6533 

1025 3 -0.49672 0.0702737 5.75602 22.6975 

1025 3 -0.497657 8.49002 2.89921 22.64 

1025 3 -0.498213 5.59051 22.7258 22.6486 

