a b c d e
480 1 27.05714 9.96842 7.12029
481 1 0.0 11.39248 5.696232
482 1 1.42406 12.81654 7.12029
483 1 2.84812 11.39248 5.696232
484 1 4.27218 12.81654 7.12029
485 1 5.69624 11.39248 5.696232
486 1 7.1203 12.81654 7.12029
487 1 8.54436 11.39248 5.696232
488 1 9.96842 12.81654 7.12029
489 1 11.39248 11.39248 5.696232
490 1 12.81654 12.81654 7.12029
491 1 14.2406 11.39248 5.696232
492 1 15.66466 12.81654 7.12029
493 1 17.08872 11.39248 5.696232
494 1 18.51278 12.81654 7.12029
495 1 19.93684 11.39248 5.696232
496 1 21.3609 12.81654 7.12029
497 1 22.78496 11.39248 5.696232
498 1 24.20902 12.81654 7.12029
499 1 25.63308 11.39248 5.696232
500 1 27.05714 12.81654 7.12029
501 1 0.0 14.2406 5.696232
502 1 1.42406 15.66466 7.12029
503 1 2.84812 14.2406 5.696232
504 1 4.27218 15.66466 7.12029
505 1 5.69624 14.2406 5.696232
506 1 7.1203 15.66466 7.12029
507 1 8.54436 14.2406 5.696232
508 1 9.96842 15.66466 7.12029
509 1 11.39248 14.2406 5.696232
510 1 12.81654 15.66466 7.12029
511 1 14.2406 14.2406 5.696232
512 1 15.66466 15.66466 7.12029
513 1 17.08872 14.2406 5.696232
514 1 18.51278 15.66466 7.12029
515 1 19.93684 14.2406 5.696232
516 1 21.3609 15.66466 7.12029
517 1 22.78496 14.2406 5.696232
518 1 24.20902 15.66466 7.12029
519 1 25.63308 14.2406 5.696232
520 1 27.05714 15.66466 7.12029
521 1 0.0 17.08872 5.696232
522 1 1.42406 18.51278 7.12029
523 1 2.84812 17.08872 5.696232
524 1 4.27218 18.51278 7.12029
525 1 5.69624 17.08872 5.696232
526 1 7.1203 18.51278 7.12029
527 1 8.54436 17.08872 5.696232
528 1 9.96842 18.51278 7.12029
529 1 11.39248 17.08872 5.696232
530 1 12.81654 18.51278 7.12029
531 1 14.2406 17.08872 5.696232
532 1 15.66466 18.51278 7.12029
533 1 17.08872 17.08872 5.696232
534 1 18.51278 18.51278 7.12029
535 1 19.93684 17.08872 5.696232
536 1 21.3609 18.51278 7.12029
537 1 22.78496 17.08872 5.696232
538 1 24.20902 18.51278 7.12029
539 1 25.63308 17.08872 5.696232
540 1 27.05714 18.51278 7.12029
541 1 0.0 19.93684 5.696232
542 1 1.42406 21.3609 7.12029
543 1 2.84812 19.93684 5.696232
544 1 4.27218 21.3609 7.12029
545 1 5.69624 19.93684 5.696232
546 1 7.1203 21.3609 7.12029
547 1 8.54436 19.93684 5.696232
548 1 9.96842 21.3609 7.12029
549 1 11.39248 19.93684 5.696232
550 1 12.81654 21.3609 7.12029
551 1 14.2406 19.93684 5.696232
552 1 15.66466 21.3609 7.12029
553 1 17.08872 19.93684 5.696232
554 1 18.51278 21.3609 7.12029
555 1 19.93684 19.93684 5.696232
556 1 21.3609 21.3609 7.12029
557 1 22.78496 19.93684 5.696232
558 1 24.20902 21.3609 7.12029
559 1 25.63308 19.93684 5.696232
560 1 27.05714 21.3609 7.12029
